chunk_id,QuestionID,Category,QuestionType,QuestionTime,chunk_index,chunk_text,search_text,lexical_tokens
row_0_chunk_0,C15Q2112,Tools and Home Improvement,open-ended,2013-04-20,0,dimensions item,Tools and Home Improvement open-ended dimensions item,"['tools', 'and', 'home', 'improvement', 'open', 'ended', 'dimensions', 'item']"
row_1_chunk_0,C9Q4595,Home and Kitchen,open-ended,2014-02-06,0,much booze hold poured booze measuring cup sunscreen container,Home and Kitchen open-ended much booze hold poured booze measuring cup sunscreen container,"['home', 'and', 'kitchen', 'open', 'ended', 'much', 'booze', 'hold', 'poured', 'booze', 'measuring', 'cup', 'sunscreen', 'container']"
row_2_chunk_0,C4Q7999,Cell Phones and Accessories,open-ended,2014-08-09,0,case fit nokia lumia 520 yes fits great great cover sturdy clip screen cover,Cell Phones and Accessories open-ended case fit nokia lumia 520 yes fits great great cover sturdy clip screen cover,"['cell', 'phones', 'and', 'accessories', 'open', 'ended', 'case', 'fit', 'nokia', 'lumia', '520', 'yes', 'fits', 'great', 'great', 'cover', 'sturdy', 'clip', 'screen', 'cover']"
row_3_chunk_0,C8Q8916,Health and Personal Care,open-ended,2014-04-25,0,folded sitting position high ground seat 30 inches groundand still love mineespecially since time little gardening,Health and Personal Care open-ended folded sitting position high ground seat 30 inches groundand still love mineespecially since time little gardening,"['health', 'and', 'personal', 'care', 'open', 'ended', 'folded', 'sitting', 'position', 'high', 'ground', 'seat', '30', 'inches', 'groundand', 'still', 'love', 'mineespecially', 'since', 'time', 'little', 'gardening']"
row_4_chunk_0,C14Q905,Sports and Outdoors,open-ended,2015-04-15,0,long leave get max sweat benefit keep thinking body reabsorb sweat washed sauba shirt delicate cycle cold water fabric softener didnt lose shape shrink hang dry,Sports and Outdoors open-ended long leave get max sweat benefit keep thinking body reabsorb sweat washed sauba shirt delicate cycle cold water fabric softener didnt lose shape shrink hang dry,"['sports', 'and', 'outdoors', 'open', 'ended', 'long', 'leave', 'get', 'max', 'sweat', 'benefit', 'keep', 'thinking', 'body', 'reabsorb', 'sweat', 'washed', 'sauba', 'shirt', 'delicate', 'cycle', 'cold', 'water', 'fabric', 'softener', 'didnt', 'lose', 'shape', 'shrink', 'hang', 'dry']"
row_5_chunk_0,C9Q23536,Home and Kitchen,open-ended,2013-09-23,0,box display name fred prominently hoping yes answer size 10x8x8cm,Home and Kitchen open-ended box display name fred prominently hoping yes answer size 10x8x8cm,"['home', 'and', 'kitchen', 'open', 'ended', 'box', 'display', 'name', 'fred', 'prominently', 'hoping', 'yes', 'answer', 'size', '10x8x8cm']"
row_6_chunk_0,C9Q10688,Home and Kitchen,open-ended,2013-10-08,0,dont understand undercounter trash kitchen doesnt lid happy purchasers must use kitchen garbage depth problem bin alone depth 13 sits rails extend front back floor level need 19 depth top need 15 width 105 height 155,Home and Kitchen open-ended dont understand undercounter trash kitchen doesnt lid happy purchasers must use kitchen garbage depth problem bin alone depth 13 sits rails extend front back floor level need 19 depth top need 15 width 105 height 155,"['home', 'and', 'kitchen', 'open', 'ended', 'dont', 'understand', 'undercounter', 'trash', 'kitchen', 'doesnt', 'lid', 'happy', 'purchasers', 'must', 'use', 'kitchen', 'garbage', 'depth', 'problem', 'bin', 'alone', 'depth', '13', 'sits', 'rails', 'extend', 'front', 'back', 'floor', 'level', 'need', '19', 'depth', 'top', 'need', '15', 'width', '105', 'height', '155']"
row_7_chunk_0,C1Q6884,Automotive,open-ended,2013-06-05,0,plastic glass ranger came headlight bulb preinstalled amber signal bulb need make adjustments everything fit perfectly either use old amber bulb buy replacement bulbs case amber film covers bulb flaking,Automotive open-ended plastic glass ranger came headlight bulb preinstalled amber signal bulb need make adjustments everything fit perfectly either use old amber bulb buy replacement bulbs case amber film covers bulb flaking,"['automotive', 'open', 'ended', 'plastic', 'glass', 'ranger', 'came', 'headlight', 'bulb', 'preinstalled', 'amber', 'signal', 'bulb', 'need', 'make', 'adjustments', 'everything', 'fit', 'perfectly', 'either', 'use', 'old', 'amber', 'bulb', 'buy', 'replacement', 'bulbs', 'case', 'amber', 'film', 'covers', 'bulb', 'flaking']"
row_8_chunk_0,C13Q1527,Pet Supplies,open-ended,2015-03-13,0,feedback carpeting thickness durability bought 2 armarkats poor quality thin covering one tearing seams thanks 17 lb fatty fits comfortably sturdy wellmade cat tree even generously proportioned kitty happy held well time ive,Pet Supplies open-ended feedback carpeting thickness durability bought 2 armarkats poor quality thin covering one tearing seams thanks 17 lb fatty fits comfortably sturdy wellmade cat tree even generously proportioned kitty happy held well time ive,"['pet', 'supplies', 'open', 'ended', 'feedback', 'carpeting', 'thickness', 'durability', 'bought', '2', 'armarkats', 'poor', 'quality', 'thin', 'covering', 'one', 'tearing', 'seams', 'thanks', '17', 'lb', 'fatty', 'fits', 'comfortably', 'sturdy', 'wellmade', 'cat', 'tree', 'even', 'generously', 'proportioned', 'kitty', 'happy', 'held', 'well', 'time', 'ive']"
row_9_chunk_0,C15Q9122,Tools and Home Improvement,open-ended,2013-08-27,0,install pop drain know came 2 rubber washers know thin rubber washer goes drain vessel sink bought smaller cabinet wood counter black mesh insert dorors looks great love sink faucet,Tools and Home Improvement open-ended install pop drain know came 2 rubber washers know thin rubber washer goes drain vessel sink bought smaller cabinet wood counter black mesh insert dorors looks great love sink faucet,"['tools', 'and', 'home', 'improvement', 'open', 'ended', 'install', 'pop', 'drain', 'know', 'came', '2', 'rubber', 'washers', 'know', 'thin', 'rubber', 'washer', 'goes', 'drain', 'vessel', 'sink', 'bought', 'smaller', 'cabinet', 'wood', 'counter', 'black', 'mesh', 'insert', 'dorors', 'looks', 'great', 'love', 'sink', 'faucet']"
